transaction_id,account_id,amount,amount_to_avg_ratio,is_foreign_location,is_new_device,hour_of_day,merchant_category,is_fraud_actual,fraud_type
d14f3fbf-6144-4da0-9386-1f775dfe440d,ACC7F584589,46.76,0.628,0,0,5,fuel,0,genuine
abde22a0-7b6c-4c74-8129-7e4716b24429,ACC4BCFE47D,46.0,1.063,0,0,1,fuel,0,genuine
15ca3d0e-9fa1-4415-a01b-cc17de13091a,ACC0A64ABBD,206.4,10.054,0,0,1,online_retail,1,huge_amount
4f3beb08-ac0d-42ad-8650-a254691d2689,ACCB7261A19,181.19,1.009,0,0,2,entertainment,0,genuine
2a948828-6700-47e6-9e8f-de476808f8a5,ACC7F584589,51.38,0.69,0,0,9,entertainment,0,genuine
3fb60805-3052-4258-b7d9-b0fc6a8b84fa,ACC2C848FF5,200.59,1.732,0,0,20,entertainment,0,genuine
0380f259-133c-4cc0-a906-9f2306515216,ACC47DBDD62,63.3,0.619,0,0,5,grocery,0,genuine
cf4137d7-199b-497a-b19c-eca8d466cb8c,ACC9D67E0D7,151.47,1.072,0,0,3,utilities,0,genuine
6c4c4617-a879-43e7-8480-9b03002c0868,ACC0AADD547,129.03,0.801,0,0,19,utilities,0,genuine
e1a22f3c-71ed-4db3-bc46-ffcc31915c52,ACCE3367E61,118.94,0.727,1,0,0,travel,0,genuine
4467eb79-9c1d-4cfe-b040-b766864e43da,ACC37920886,193.01,1.727,0,0,1,utilities,0,genuine
6465b580-d5ec-4d13-8d07-87a0c039dd03,ACC707FD242,85.9,0.892,0,0,21,online_retail,0,genuine
41e08c67-2e04-45a8-baae-03abd14bc8ec,ACCB8201BFE,108.61,1.038,0,0,10,utilities,0,genuine
c3dd71e4-cf2d-4cfb-903c-2b8de19aaa1d,ACC120D4C78,191.2,1.773,0,1,1,entertainment,1,new_device
2532f342-0ea1-4823-81dc-fe3859d1a8e6,ACC819391A9,34.91,0.9,0,1,20,grocery,0,genuine
21397b66-4248-4162-9966-21805a50f28f,ACC1F9C12DE,117.49,0.865,0,0,23,online_retail,0,genuine
10f5ef7c-d2fc-41fa-a788-eabf24e37eb8,ACCAA36AA07,47.55,0.94,0,1,4,utilities,1,new_device
ff90a036-b2d9-4c4e-bec0-0d20eea079db,ACC8A097CC1,116.54,1.141,0,0,18,fuel,0,genuine
f9e7555d-7814-4c04-9d22-fe939934f4a3,ACCC742C7D6,129.72,1.824,0,1,3,electronics,0,genuine
bca18a03-c58e-4fb6-8113-1a7d33c331dc,ACC69F86FC2,212.27,1.144,0,0,12,utilities,0,genuine
cac2f66f-99d1-4834-89ce-d2aef4b88e91,ACCA9BDD42B,162.53,1.051,0,0,14,utilities,0,genuine
22ac1788-ee59-40f8-a75a-f2c98b22c6fe,ACC2467C52B,88.15,1.854,0,0,8,entertainment,0,genuine
d95419d7-ee0e-43fa-99cc-32971b4c1a33,ACCAD413A31,172.03,1.006,0,0,23,grocery,0,genuine
4d741f23-3b45-414b-b4f2-7045c469d009,ACC22163AB8,35.87,0.417,0,0,4,fuel,0,genuine
36b01603-3bde-49c0-b2ab-98fc91701e27,ACC0E90F901,133.07,0.76,0,1,17,restaurant,0,genuine
d0fcc02e-f0ab-4ed1-9dd5-dd90acaf6215,ACCAA010F0A,39.92,1.226,0,0,14,utilities,0,genuine
f303ff87-61b4-4ac1-9c01-e440676f5020,ACCC2C6420D,118.69,0.82,0,0,12,restaurant,0,genuine
aae03220-c3c4-4888-a2ed-735edb518cf9,ACC63E38219,72.32,0.64,0,0,15,electronics,0,genuine
e9b6a996-d216-406c-9425-33355773c345,ACCB3D946C7,128.85,0.712,0,0,17,restaurant,0,genuine
fe23029f-7fd0-4819-9b5e-2622dd723897,ACCB6304D6D,754.46,4.736,0,0,17,travel,1,huge_amount
c8b7f56f-605c-4253-a48b-03c463324e1e,ACC0DB3A99A,75.28,0.822,0,0,4,entertainment,0,genuine
0baaf522-f1c6-4f1f-849c-13343a85b531,ACC936198A9,38.84,0.504,0,0,8,online_retail,0,genuine
98586cd0-c953-4594-8426-25587e79f331,ACC33790CF6,133.07,0.843,0,0,20,fuel,0,genuine
853f8c96-64c0-432e-be59-2fa5633904d5,ACC49371FEA,183.02,1.635,0,0,16,fuel,0,genuine
c0a2d640-33d6-4345-b3cd-1f10d486ca7e,ACCD77D289A,19.43,0.577,0,0,11,restaurant,0,genuine
f5c83686-2770-49f7-8e4c-82458a583f22,ACC2BCDCDD4,10.47,0.215,0,0,12,online_retail,0,genuine
d5854b12-cad9-4f9c-81c8-868c8ec58863,ACCAF841035,230.37,1.301,0,0,17,travel,0,genuine
206d2994-a30d-47ee-a77b-35ff96a72463,ACC2227A7D6,140.26,1.031,0,0,10,electronics,0,genuine
6ccd3038-d8fd-48ea-b365-404ff1eaaa7c,ACC049C6980,193.31,1.188,0,0,18,entertainment,0,genuine
c947f310-620a-4cd4-ae2c-c4129e7523b8,ACC57F1AD9A,189.95,1.037,0,0,11,entertainment,0,genuine
a7aa8eda-a7ed-47d0-81b6-1101fc01b3ed,ACCA8070C69,102.83,0.66,0,0,2,online_retail,0,genuine
aeb0ce05-4ac1-4961-b30a-3397aa8adf0a,ACCD77D289A,19.57,0.581,0,0,5,restaurant,1,stealthy
0b46728b-bd71-4070-9138-00a121ab6ef7,ACC434FD0BB,77.32,1.134,0,1,15,entertainment,0,genuine
2064c2fb-cf4d-4231-a54c-6cc6705a3fca,ACCC742C7D6,72.54,1.02,1,0,21,online_retail,1,foreign_location
137670f9-a2ea-4325-ae73-8e6656895f98,ACC2F2FD99E,122.23,1.821,0,0,20,fuel,0,genuine
6dccd3ac-78f8-4b91-9776-a86e89dd5d3f,ACC47C1AE01,90.23,0.828,0,0,3,fuel,0,genuine
91c8ae5c-7498-40b0-adf2-f1eb607e1483,ACCB17AC2ED,22.15,0.697,0,0,10,online_retail,0,genuine
8c272457-17a3-4a85-bd68-af688084dde6,ACC476E30AF,22.97,0.485,0,0,0,entertainment,0,genuine
df965bd9-d884-4f96-82b5-4ae41968e500,ACC0AAC82C2,85.13,0.883,1,0,12,utilities,0,genuine
b1de47e1-08b0-4f17-ba2b-ea9fa095aafa,ACC48A4DD1A,31.23,1.021,0,0,17,restaurant,0,genuine
eca9e3a3-acd9-47e9-be50-e2d4bf098c9f,ACCB5426310,73.41,1.009,0,0,17,online_retail,0,genuine
6b9df898-6549-4f02-93b9-cf162cee8539,ACCB17AC2ED,31.07,0.978,0,0,14,utilities,0,genuine
da1fb6f0-92f1-4d99-9ce3-ce27496dc0e7,ACCC6121509,25.67,1.186,0,0,12,electronics,0,genuine
d2495d3d-0b48-4035-a8b2-d8f52c950887,ACCEB67227A,76.09,0.416,0,0,6,electronics,0,genuine
d583e91d-beb5-48c0-9905-d729e2179336,ACCFEB58DF9,23.85,0.182,0,0,3,travel,0,genuine
0e097cc2-e01b-4229-aa75-6ca086537dc8,ACC18680C85,73.27,0.619,0,0,6,electronics,0,genuine
301abf77-5a49-4c6d-9cfa-fc9822bb1030,ACCC7DF1C25,106.23,1.215,0,0,2,restaurant,0,genuine
56b9fcb4-e1c7-472a-b175-d691fff16b2d,ACCB17AC2ED,24.24,0.763,0,0,21,travel,0,genuine
68d8a03e-329e-4594-a1d6-713bd28fd55f,ACC790525E5,65.06,0.482,0,0,11,utilities,0,genuine
26514c77-dc15-4e10-a40a-d8457f80b0e2,ACC94AFF365,19.56,1.253,0,0,5,restaurant,0,genuine
036e585e-46fe-4d72-bfaa-6f36bb89d5d4,ACCC2B19390,223.58,1.407,0,0,7,fuel,0,genuine
fb6e3f64-1391-4ffc-8c7a-ee9fe4d19593,ACCC2C6420D,103.77,0.717,0,0,18,entertainment,0,genuine
cb89ad1c-c13b-4a32-a460-0a4832e08758,ACCD581D6E4,59.9,0.843,0,0,0,entertainment,0,genuine
2d942b93-bd53-4d0f-b21c-effba217bda4,ACC8B3F5DD0,44.03,0.508,0,0,7,electronics,0,genuine
6e68f4e7-0796-4d7f-be7e-cc59674546a0,ACCE6F8D6D0,144.18,0.724,0,0,2,grocery,0,genuine
a822e9db-8203-41ff-8c47-ef064aff1ad6,ACCEB67227A,270.73,1.48,0,0,21,grocery,0,genuine
efe801a9-7f10-48b4-be70-a6949feffef4,ACCA9BDD42B,507.98,3.284,0,0,9,travel,0,genuine
1274be55-74d3-41a6-87ad-71497351834a,ACC57F1AD9A,140.37,0.767,0,0,9,electronics,0,genuine
4569676d-fb27-4e52-99ae-420224c6cda6,ACCD70B7103,59.0,0.945,1,0,12,electronics,0,genuine
8f003150-3234-4891-be76-2d1c69c1d35e,ACC434FD0BB,62.44,0.916,0,0,22,grocery,0,genuine
96998680-94b6-4878-8400-05373a4bbc3b,ACCE7526B0F,89.71,0.599,0,0,7,electronics,0,genuine
708c8fd7-4769-4463-8574-aaaead28438b,ACC2227A7D6,135.61,0.997,0,0,10,restaurant,0,genuine
9a383155-a42a-4997-a6db-ba12524946c6,ACC431B338F,140.95,1.736,0,0,7,travel,0,genuine
a3ef54cd-4e94-4f99-89ac-ad524a3150ad,ACC5A2D2562,27.07,0.916,0,0,4,online_retail,0,genuine
80f6b61b-65b1-405f-8265-b5978259f966,ACCD86300CA,145.62,0.842,0,0,11,electronics,0,genuine
dfa56016-976c-405b-9ace-c80979e21ff1,ACC08968071,200.33,1.098,0,0,3,electronics,0,genuine
b64f6653-f6bc-45e4-9153-60456a15552b,ACC1E39053B,74.64,0.754,0,0,13,electronics,0,genuine
32f3e96a-8241-4460-a8d7-3946a31a2c40,ACCEE57A8CC,144.29,1.067,0,0,22,restaurant,0,genuine
76fe88ed-9d32-46c4-aaa8-0afc06407a7c,ACC1FAB3F77,104.33,0.716,0,0,12,fuel,0,genuine
f32539c3-95e7-4522-b12b-0ed42e7fbd78,ACC2467C52B,31.71,0.667,1,0,3,utilities,0,genuine
5dc493f5-71ba-4bf7-8482-eef21518c374,ACCE7567526,138.61,0.808,0,0,23,utilities,0,genuine
54e61bc1-5335-44fa-8e4e-f5a0760daa2a,ACC8883AEB4,82.29,1.533,0,1,19,fuel,1,new_device
166f3b3d-e145-4efd-92fa-bbe4d767c51f,ACC8CA0E9D4,110.63,1.156,0,1,13,online_retail,0,genuine
60fc780e-1fc5-427a-bef8-f91a801529dc,ACC7661F9A1,222.59,3.848,1,0,1,entertainment,0,genuine
e632fb81-40af-44a7-a578-d9ac221166ea,ACC6E29EDDC,71.55,0.597,0,0,22,restaurant,0,genuine
68302074-3e2e-4b90-b5b1-1c8f51416428,ACC69F86FC2,245.81,1.325,0,1,13,travel,0,genuine
53d8c1c6-6df2-4330-871a-a8631486f1fe,ACCCE9C4128,144.99,0.86,0,0,11,travel,0,genuine
72061c7a-5c4e-4691-8d3d-c990c3b8ea2d,ACCE5159C95,174.82,1.387,0,0,7,travel,0,genuine
432238e1-3ad6-4c0e-b010-861c0f7064a5,ACC63E38219,67.21,0.595,0,0,3,grocery,0,genuine
95abd7b4-e64e-4a48-82a1-2efc4e2a4d7f,ACC77B9597C,205.81,1.279,0,0,17,electronics,0,genuine
04d2f30e-988b-473b-9e43-2c9ffa20020f,ACCB7FD1801,110.7,0.948,0,0,9,travel,0,genuine
1a9014f4-d324-4990-a6c4-22f32e5678f8,ACCBDEED3A1,15.9,1.022,0,0,16,electronics,0,genuine
d49653d8-a049-4c09-8377-c8ac7a198829,ACC5B205BFD,55.54,1.037,0,0,12,restaurant,0,genuine
a9cb0b2c-4e67-4c41-a83b-ab88e1bb48f7,ACCB8201BFE,80.91,0.773,0,0,11,entertainment,0,genuine
57253f7a-4796-4303-883a-af6e8950790c,ACC52E63E8E,61.99,0.881,0,0,11,travel,0,genuine
f5d05af6-ff29-45ac-8937-45d9a3f87f4b,ACC2CED7AA4,68.55,0.505,0,0,19,electronics,0,genuine
